Date,Open,High,Low,Close,Adj Close,Volume
2018-10-04,538.275024,546.150024,531.724976,538.250000,518.101746,113506
2018-10-05,538.500000,547.525024,535.474976,541.200012,520.941345,68160
2018-10-08,537.500000,541.875000,524.674988,536.974976,516.874634,51694
2018-10-09,536.000000,538.599976,522.049988,533.224976,513.264954,54376
2018-10-10,530.000000,530.000000,519.750000,525.174988,505.516205,49460
2018-10-11,517.500000,517.500000,499.500000,504.174988,485.302338,102414
2018-10-12,504.000000,504.500000,488.000000,492.325012,473.895905,105820
2018-10-15,492.299988,504.149994,491.500000,501.325012,482.559021,97290
2018-10-16,499.000000,505.950012,494.575012,501.475006,482.703430,62582
2018-10-17,510.000000,517.700012,504.600006,511.924988,492.762238,107248
2018-10-19,504.899994,506.024994,475.975006,480.375000,462.393219,118490
2018-10-22,480.000000,493.600006,479.575012,490.024994,471.682037,71598
2018-10-23,485.000000,491.274994,474.125000,476.375000,458.542969,81750
2018-10-24,487.000000,495.000000,473.200012,490.774994,472.403992,415372
2018-10-25,487.450012,504.600006,484.424988,502.350006,483.545685,169574
2018-10-26,499.575012,499.575012,481.000000,482.450012,464.390594,94398
2018-10-29,482.500000,496.125000,477.450012,492.700012,474.256897,62934
2018-10-30,497.000000,508.399994,488.500000,502.299988,484.480865,96356
2018-10-31,502.000000,529.000000,501.125000,525.400024,506.761475,143558
2018-11-01,527.450012,528.025024,503.024994,505.799988,487.856689,53802
2018-11-02,505.799988,514.500000,497.500000,501.000000,483.226990,163446
2018-11-05,492.500000,512.224976,492.500000,509.549988,491.473663,73082
2018-11-06,512.000000,520.525024,507.500000,514.450012,496.199860,85472
2018-11-07,514.500000,517.500000,512.650024,515.250000,496.971466,7888
2018-11-09,515.000000,522.974976,506.750000,514.500000,496.248047,99968
2018-11-12,514.500000,528.974976,514.500000,516.700012,498.370026,79664
2018-11-13,520.500000,527.400024,514.674988,516.424988,498.104797,66890
2018-11-14,516.500000,517.000000,495.500000,498.200012,480.526276,84666
2018-11-15,501.500000,512.325012,491.000000,494.500000,476.957520,118784
2018-11-16,500.000000,517.724976,500.000000,511.100006,492.968658,157932
2018-11-19,512.500000,521.950012,507.500000,519.150024,500.733124,43676
2018-11-20,522.500000,522.500000,502.475006,505.750000,487.808502,70060
2018-11-21,506.000000,506.424988,490.000000,492.450012,474.980286,60562
2018-11-22,495.924988,500.750000,488.375000,489.774994,472.400177,88520
2018-11-26,497.500000,501.750000,481.750000,499.600006,481.876678,74554
2018-11-27,499.950012,512.500000,496.899994,511.325012,493.185730,167492
2018-11-28,503.000000,523.849976,503.000000,521.875000,503.361511,86682
2018-11-29,521.500000,522.125000,504.649994,507.649994,489.641083,84104
2018-11-30,507.975006,513.000000,502.799988,507.200012,489.207031,69232
2018-12-03,510.700012,512.500000,502.399994,509.325012,491.256622,138846
2018-12-04,510.100006,521.150024,508.950012,518.049988,499.672089,306740
2018-12-05,519.500000,528.950012,511.924988,525.625000,506.978424,165296
2018-12-06,524.950012,532.724976,504.000000,505.975006,488.025513,160954
2018-12-07,500.500000,500.500000,467.500000,480.774994,463.719360,1118584
2018-12-10,477.524994,484.875000,468.274994,470.774994,454.074219,288946
2018-12-11,473.000000,482.200012,465.375000,478.500000,461.525146,223504
2018-12-12,482.125000,486.549988,472.174988,484.575012,467.384674,668560
2018-12-13,486.000000,491.024994,482.075012,489.250000,471.893799,112224
2018-12-14,480.000000,484.100006,475.500000,480.174988,463.140747,192350
2018-12-17,484.000000,486.500000,476.799988,485.274994,468.059784,111706
2018-12-18,485.274994,494.375000,480.149994,492.700012,475.221436,447310
2018-12-19,491.500000,491.500000,477.500000,479.075012,462.079803,174892
2018-12-20,477.399994,482.750000,473.500000,480.524994,463.478333,92616
2018-12-21,480.000000,497.450012,473.450012,478.875000,461.886841,381874
2018-12-24,477.500000,477.500000,468.049988,469.250000,452.603302,108018
2018-12-26,470.500000,473.725006,465.725006,471.274994,454.556458,86318
2018-12-27,474.799988,479.600006,472.000000,473.950012,457.136597,79092
2018-12-28,474.000000,480.000000,474.000000,478.274994,461.308136,70550
2018-12-31,480.625000,482.625000,477.750000,481.274994,464.201752,37922
2019-01-01,482.500000,482.500000,478.500000,481.000000,463.936493,28080
